GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myproject,dao,AccountDaoJpaImpl,12,172,6,8,6,47,6,9,0,8
myproject,dao,AccountOperationDaoJpaImpl,2,53,1,3,1,15,1,4,0,3
myproject,dao,GenericDaoJpaImpl,0,110,0,0,0,36,0,7,0,7
myproject,dao,TransferOperationDaoJpaImpl,0,3,0,0,0,1,0,1,0,1
myproject,Bank,Bank.AccountIdException,0,4,0,0,0,2,0,1,0,1
myproject,Bank,BankImpl,0,431,0,14,0,79,0,16,0,9
myproject,Bank,Bank.InsufficientFundsException,0,4,0,0,0,2,0,1,0,1
myproject,utils,JpaFactory,0,19,0,2,0,7,0,4,0,3
myproject,model,Account,0,117,0,2,0,29,0,10,0,9
myproject,model,TransferOperation,0,15,0,0,0,6,0,2,0,2
myproject,model,AccountOperation,0,18,0,0,0,7,0,3,0,3
myproject,model,AccountOperation.OperationType,0,34,0,0,0,1,0,1,0,1
myproject,model,AbstractModel,19,25,1,1,8,9,6,5,5,5
myproject,task1,App,0,15,0,2,0,4,0,4,0,3
